116,Lo spessore del profilo influisce normalmente sul valore della portanza e della resistenza che esso genera?,"[0/0]sì, la portanza mediamente aumenta mentre la resistenza diminuisce con l'aumentare dello spessore.","[1/0]si, portanza e resistenza aumentano a parità di altre condizioni con l'aumentare dello spessore.","[0/0]sì, la portanza diminuisce mentre la resistenza mediamente aumenta con l'aumentare dello spessore.",

117,La portanza e la resistenza dipendono anche dalla densità dell'aria?,[1/0]si.,[0/0]no.,[0/0]non sempre.,

118,Che cosa è l'angolo d'incidenza?,[1/0]è l'angolo compreso tra la corda alare e la direzione del vento relativo o traiettoria di volo.,[0/0]è l'angolo compreso tra la corda alare e il piano orizzontale passante per il centro di pressione.,[0/0]è l'angolo compreso tra la corda alare e la direzione del vento meteorologico quando l'ala è in movimento.,

119,L'assetto di un profilo rappresenta un'entità angolare ben distinta dall'incidenza. Esso è per definizione:,[1/0]l'angolo compreso tra la corda alare ed il piano orizzontale.,[0/0]l'angolo compreso tra la corda alare e la direzione del vento relativo o traiettoria di volo.,[0/0]l'angolo compreso tra la direzione del vento relativo o traiettoria di volo ed il piano orizzontale.,

120,Se un profilo alare vola con un assetto di + 6° e un'incidenza di + 10° la sua traiettoria è:,[0/0]ascendente e inclinata verso l'alto rispetto al piano orizzontale di 4°.,[1/0]discendente e inclinata verso il basso rispetto al piano orizzontale di 4°.,[0/0]orizzontale.,

121,In volo incidenza e assetto di un profilo coinciderebbero:,[1/0]qualora la traiettoria di volo fosse orizzontale in aria calma.,[0/0]qualora la traiettoria di volo fosse orizzontale.,[0/0]qualora la traiettoria di volo fosse curvilinea.,

122,Perché nella formula della resistenza R = 1/2 ϱ Cr S V2 non compare l'angolo d'incidenza al cui variare varia la resistenza stessa?,[0/0]perché al variare dell'incidenza varia la sola superficie proiettata.,[0/0]perché un'altra formula lega incidenza e resistenza aerodinamica.,[1/0]perché al variare dell'incidenza varia il Cr.,

123,Per aumentare la portanza di un certo profilo alare è sufficiente aumentare l'angolo d'incidenza?,"[0/0]si, senza alcuna limitazione.","[0/0]sì, da zero a venti gradi.","[1/0]si, ma entro ben precisi limiti.",

124,Variando l'incidenza di un profilo la portanza:,[1/0]varia.,[0/0]non varia.,[0/0]varia mentre la resistenza non varia.,

125,Perché nella formula della portanza P =1/2 ϱ S V2 non compare l'angolo d'incidenza al cui variare varia la portanza stessa?,[0/0]perché al variare dell'incidenza varia la sola superficie proiettata.,[0/0]perché un'altra formula lega incidenza e portanza.,[1/0]perché al variare dell'incidenza varia il Cp.,

126,Come può in volo il pilota variare la portanza?,[0/0]diminuendo la resistenza aerodinamica.,[1/0]variando l'angolo d'incidenza entro certi limiti.,[0/0]mantenendo lo stesso angolo di assetto.,

127,"Il peso del sistema ala-pilota, cui durante il volo si oppone la risultante aerodinamica, è una forza verticale diretta verso il basso, che si scompone in:",[1/0]trazione nella direzione della traiettoria di volo e peso apparente perpendicolarmente alla stessa.,[0/0]trazione perpendicolarmente alla traiettoria di volo e peso apparente nella direzione della stessa.,[0/0]trazione nella direzione della traiettoria di volo e peso apparente in direzione opposta.,

128,L'energia motrice nel volo in deltaplano e parapendio è fornita:,[0/0]da forze di natura aerodinamica.,[1/0]dalla forza peso.,[0/0]dall'inerzia cinetica.,

129,Come si chiama l'energia sfruttata dal sistema ala-pilota in volo planato?,[0/0]energia termica.,[0/0]energia endotermica.,[1/0]energia potenziale.,

130,Che cosa è la trazione nel volo planato?,[1/0]è una forza ed è la componente del peso orientata nella direzione della traiettoria di volo.,[0/0]è una forza ed è la componente del peso orientata perpendicolarmente alla traiettoria di volo.,"[0/0]è una forza che varia al variare della pendenza della traiettoria, ma è indipendente dal peso.",

131,Com'è possibile variare il valore della trazione in volo?,[0/0]non può essere variato.,[1/0]variando la pendenza della traiettoria di volo.,[0/0]variando la sola resistenza aerodinamica.,

132,"In volo librato rettilineo uniforme il peso apparente, che costituisce la componente del peso perpendicolare alla traiettoria di volo, è equilibrato dalla:",[0/0]resistenza.,[0/0]trazione.,[1/0]portanza.,

133,In virata come variano il peso apparente e la superficie proiettata dell'ala?,"[0/0]aumentano entrambi, il peso apparente a causa dell'accelerazione centripeta, la superficie proiettata per motivi geometrici.",[1/0]aumenta il peso apparente a causa dell'accelerazione centrifuga e diminuisce la superficie proiettata per motivi geometrici.,[0/0]non variano né il peso apparente né la superficie proiettata.,

134,In virata a causa della forza centrifuga e dell''inclinazione laterale:,[1/0]il peso apparente è maggiore e la superficie proiettata è minore.,[0/0]il peso è minore e la superficie è minore.,[0/0]la resistenza aerodinamica è minore.,

135,Che cosa s'intende per carico alare?,[1/0]il rapporto tra il peso sostentato dall'ala e la superficie della stessa.,[0/0]il rapporto tra la superficie dell'ala ed il peso sostentato dalla stessa.,[0/0]il carico di rottura dell'ala.,

136,"Se il pilota pesa 78 kg, l'apparecchio e l'attrezzatura di volo 22 kg e la superficie proiettata è 25 metri quadri, quanto sarà il carico alare?",[0/0]6 kg/metro quadro.,[0/0]9 kg/metro quadro.,[1/0]4 kg/metro quadro.,

137,Se a seguito di una parziale "chiusura" del parapendio la sua superficie alare si riduce:,[0/0]il carico alare rimane lo stesso.,[1/0]il carico alare aumenta.,[0/0]il carico alare si riduce.,

138,Che cosa s'intende per fattore di carico?,[1/0]un fattore numerico capace di indicare quante volte il peso del sistema ala-pilota varia per effetto dell'accelerazione centrifuga in virata o di altre accelerazioni positive o negative durante le manovre.,[0/0]un fattore numerico capace di indicare di quante volte aumenta la resistenza aerodinamica in virata per effetto della forza centrifuga.,[0/0]un fattore numerico caratteristico di un tipo deltaplano o parapendio collegato alla robustezza delle sue strutture verificata in tutti i tipi di manovra in volo.,

139,"Durante una virata al sistema ala-pilota viene applicata, per effetto della forza centrifuga, un'accelerazione pari a due "G". Si può affermare che:",[0/0]il fattore il carico rimane invariato.,"[0/0]il fattore di carico è raddoppiato, ma è come se il peso del sistema fosse invariato.",[1/0]il fattore di carico è raddoppiato ed è come se il peso del sistema fosse doppio.,

140,"Se durante il volo per qualche motivo il fattore di carico raddoppia, il carico alare:",[0/0]può anche rimanere invariato.,[1/0]raddoppia.,[0/0]viene dimezzato.,

141,Che cosa s'intende per centro di pressione o di spinta?,[0/0]è il punto di applicazione della forza peso.,"[0/0]è il punto in cui sempre s'incrociano i tre assi dell'ala, quello di beccheggio, di rollio e d'imbardata.",[1/0]è il punto di applicazione della risultante di tutte le forze aerodinamiche generate dall'ala in movimento nell'aria.,

142,In volo può variare la posizione del centro di pressione?,"[0/0]no, perché non dipende da fattori che variano in volo.","[0/0]si, ma solo per certi tipi di profilo.","[1/0]si, al variare dell'angolo d'incidenza.",

143,Come varia mediamente la posizione del centro di pressione al variare dell'incidenza su profili autostabili?,[1/0]diminuendo l'incidenza il centro di pressione avanza ed aumentando l'incidenza il centro di pressione arretra.,[0/0]diminuendo l'incidenza il centro di pressione arretra ed aumentando l'incidenza il centro di pressione avanza.,[0/0]al variare dell'incidenza il centro di pressione non si sposta.,

144,Che cosa s'intende per baricentro di un apparecchio?,[1/0]il punto di applicazione della forza peso.,[0/0]il punto di applicazione della risultante aerodinamica.,[0/0]il punto di intersezione degli assi dell'apparecchio.,

145,Dove si trova normalmente il baricentro?,[0/0]coincide con il baricentro del solo pilota.,[1/0]si trova tra il baricentro del pilota e quello della struttura.,[0/0]si trova nel punto d'intersezione degli assi del sistema.,

146,La posizione del baricentro si sposta:,[0/0]solo a seguito di manovre attorno all'asse trasversale.,[0/0]solo a seguito di manovre attorno all'asse longitudinale.,[1/0]sia a seguito di manovre attorno all'asse trasversale che longitudinale.,

147,L'efficienza aerodinamica è:,[1/0]il rapporto tra portanza e resistenza.,[0/0]il rapporto tra carico alare e velocità.,[0/0]il rapporto tra superficie alare e portanza.,

148,L'efficienza aerodinamica è:,[0/0]il rapporto tra la sua superficie ed il peso trasportato.,[0/0]il rapporto tra il peso trasportato e la sua velocità massima.,[1/0]il rapporto tra Cp e Cr.,

149,L'efficienza di un'ala si può esprimere come:,[1/0]il rapporto tra la velocità orizzontale e quella verticale.,[0/0]il rapporto tra la velocità verticale e quella orizzontale.,[0/0]il rapporto tra superficie e peso.,

150,"Il rapporto tra portanza e resistenza generate da un'ala a un certo regime di volo, ne rappresenta l'efficienza e varia:",[1/0]al variare dell'angolo d'incidenza.,[0/0]al variare della superficie alare.,[0/0]al variare del carico alare.,

151,"L'efficienza massima di un parapendio è uguale a 8, che cosa significa?",[0/0]in aria calma può essere percorso 1 km perdendo 800 m di quota.,[0/0]il rapporto tra apertura alare e corda alare è pari a 8.,[1/0]in aria calma possono essere percorsi 8 km perdendo 1000 m di quota.,

152,Al variare dell'incidenza varia l'efficienza di un'ala perché:,[0/0]varia solo il coefficiente di portanza Cp dell'ala.,[0/0]varia solo il coefficiente di resistenza Cr dell'ala.,[1/0]variano i coefficienti di portanza e resistenza Cp e Cr.,

153,L'efficienza massima varia al variare del peso del pilota?,"[0/0]sì, anche se l'ala al variare del peso non si deforma.","[1/0]no, purché al variare del peso l'ala non si deformi e l'aria sia calma.","[0/0]no, anche se l'ala al variare del peso si deforma.",

154,"Volando in aria calma due piloti di peso diverso utilizzano lo stesso deltaplano o parapendio. Che risultati ottengono volando al medesimo regime di volo, se l'ala non si deforma al variare del carico?","[1/0]percorrono la stessa distanza, ma in tempi diversi.","[0/0]percorrono distanze diverse, ma impiegano uguali tempi.",[0/0]percorrono distanze diverse ed in tempi diversi anche se l'ala non si deforma in funzione del peso.,

155,"Volando in aria calma il peso del pilota, se l'ala non si deforma al variare del carico, influenzerà:",[0/0]la sola efficienza aerodinamica.,"[0/0]l'efficienza aerodinamica e la velocità all'aria, ma non il tasso di caduta.","[1/0]la velocità all'aria ed il tasso di caduta, ma non l'efficienza aerodinamica.",

156,"Un'ala in volo, iniziando una virata:",[1/0]aumenta il proprio tasso di caduta.,[0/0]mantiene inalterato il tasso di caduta.,[0/0]diminuisce il proprio tasso di caduta.,

157,"Aumentando il carico alare a condizione che l'ala non si deformi e volando con una certa incidenza, si realizzeranno:",[1/0]velocità e tasso di caduta maggiori.,[0/0]velocità e tasso di caduta minori.,[0/0]velocità maggiore e tasso di caduta minore.,

158,E' possibile che un deltaplano o un parapendio volino stabilmente su una traiettoria orizzontale in condizioni di aria calma?,"[0/0]sì, se il loro profilo è molto sofisticato.","[1/0]no, perché ciò significherebbe in sostanza che è stato azzerato il valore della resistenza aerodinamica.","[0/0]sì, avendo un basso carico alare.",

159,Traiettorie orizzontali stabili sono realizzabili con deltaplano e parapendio:,[0/0]solo rispetto al terreno in condizioni di vento in coda sostenuto.,[1/0]solo rispetto al terreno in condizioni di ascendenza.,[0/0]anche rispetto all'aria in condizioni di ascendenza.,

160,La polare di un'ala è una rappresentazione grafica che:,[0/0]indica i valori di velocità al suolo al variare dell'incidenza.,[0/0]indica i valori dei coefficienti di portanza e resistenza al variare dell'angolo di assetto.,[1/0]indica i valori dei coefficienti di portanza e resistenza al variare dell'angolo d'incidenza.,

161,Che cosa è la polare delle velocità o odografa di un'ala?,[1/0]è un grafico sul quale sono riportati i valori delle velocità orizzontali e delle velocità verticali dell'ala al variare dell'angolo d'incidenza.,[0/0]è un grafico sul quale sono riportati i valori della portanza e della resistenza al variare dell'angolo d'incidenza.,[0/0]è un grafico sul quale sono riportati i valori della trazione e della resistenza al variare dell'angolo d'incidenza.,

162,"Se l'ala non si deforma, al variare del peso del pilota la polare delle velocità:",[0/0]si modifica e non si sposta rispetto agli assi cartesiani.,[0/0]non si modifica e non si sposta rispetto agli assi cartesiani.,[1/0]si sposta rispetto agli assi cartesiani.,

163,Quali valori si possono ricavare dalla polare delle velocità di un'ala?,[0/0]quelli della portanza al variare dell'incidenza.,[0/0]quelli della resistenza al variare dell'incidenza.,[1/0]quelli delle velocità orizzontali e verticali ai vari angoli d'incidenza.,

164,Sulla polare delle velocità di un'ala normalmente il minimo tasso di caduta si realizza volando:,[0/0]all'incidenza alla quale corrisponde il minimo valore della resistenza.,[0/0]all'incidenza alla quale corrisponde la massima efficienza in aria calma.,[1/0]a un'incidenza maggiore di quella cui corrisponde la massima efficienza in aria calma.,

165,Sulla polare delle velocità di un'ala normalmente la massima velocità orizzontale si realizza volando:,[1/0]al valore d'incidenza cui corrisponde una resistenza maggiore a quella che si ottiene alla massima efficienza aria.,[0/0]al valore d'incidenza cui corrisponde il miglior rapporto superficie proiettata/allungamento.,[0/0]al valore d'incidenza massimo.,

166,Sulla polare delle velocità di un'ala normalmente la massima efficienza in aria calma si realizza volando:,[0/0]con l'angolo d'incidenza cui corrisponde il valore massimo del rapporto tra resistenza e portanza.,[1/0]con l'angolo d'incidenza cui corrisponde il valore massimo del rapporto tra portanza e resistenza.,[0/0]con l'angolo d'incidenza cui corrisponde il valore massimo del rapporto tra portanza e peso.,

167,In condizioni di ascendenza l'efficienza massima al suolo aumenta rispetto a quella che si otterrebbe in aria calma. Adeguando la polare delle velocità di un'ala a queste condizioni si vede che i migliori risultati si realizzano comunque volando:,[0/0]a velocità all'aria maggiore di quelle utilizzate in condizioni di aria calma.,[1/0]a velocità all'aria minore di quelle utilizzate in condizioni di aria calma.,[0/0]alla medesima velocità all'aria che si utilizzerebbe in condizioni di aria calma.,

168,In condizioni di discendenza l'efficienza massima al suolo diminuisce rispetto a quella che si otterrebbe in aria calma. Adeguando la polare delle velocità di un'ala a queste condizioni si vede che i migliori risultati comunque si realizzano volando:,[1/0]a velocità all'aria maggiori di quelle utilizzate in aria calma.,[0/0]a velocità all'aria minori di quelle utilizzate in aria calma.,[0/0]alla medesima velocità all'aria che si utilizzerebbe in condizioni di aria calma.,

169,Con vento a favore la massima efficienza al suolo è maggiore di quella ottenibile in aria calma. Sulla polare delle velocità si vede che i migliori risultati si realizzano comunque volando:,[1/0]a incidenza maggiore di quella che si utilizzerebbe per ottenere la massima efficienza in aria calma (velocità all'aria minore).,[0/0]ad incidenza minore di quella che si utilizzerebbe per ottenere la massima efficienza in aria calma (velocità all'aria maggiore).,[0/0]all'incidenza che si utilizzerebbe per ottenere la massima efficienza in aria calma.,

170,Con vento contrario la massima efficienza al suolo è minore di quella ottenibile in aria calma. Sulla polare delle velocità si vede che i migliori risultati si realizzano comunque volando:,[0/0]all'incidenza che si utilizzerebbe per ottenere la massima efficienza in aria calma.,[0/0]a incidenza maggiore di quella che si utilizzerebbe per ottenere la massima efficienza in aria calma (velocità all'aria minore).,[1/0]ad incidenza minore di quella che si utilizzerebbe per ottenere la massima efficienza in aria calma (velocità all'aria maggiore).,

171,"A parità di condizioni, di capacità e di ala a disposizione veleggia più a lungo il pilota:",[1/0]più leggero.,[0/0]più pesante.,[0/0]che fa virate più strette.,

172,"In condizioni di vento contrario, usando la stessa ala, il pilota più pesante:",[0/0]volerà con un'efficienza massima al suolo minore di quella realizzata dal pilota più leggero.,[0/0]volerà con un'efficienza al suolo identica a quella realizzata dal pilota più leggero.,[1/0]volerà con un'efficienza massima al suolo maggiore di quella realizzata dal pilota più leggero.,

173,"In condizioni di vento a favore, usando la stessa ala, il pilota più pesante:",[1/0]volerà con un'efficienza massima al suolo minore di quella realizzata dal pilota più leggero.,[0/0]volerà con un'efficienza massima al suolo maggiore di quella realizzata dal pilota più leggero.,[0/0]volerà con un'efficienza massima al suolo identica a quella realizzata dal pilota più leggero.,

174,"In condizioni aerologiche sfavorevoli, quali vento contrario e discendenza, volando con la medesima ala è:",[0/0]sfavorito il pilota più pesante.,[1/0]sfavorito il pilota più leggero.,[0/0]non ci sono differenze.,

175,Che cosa è lo stallo?,[1/0]è una condizione di volo in cui si verifica il distacco dei filetti fluidi dall'ala a causa dell'eccessivo angolo d'incidenza.,[0/0]è una condizione di volo in cui si verifica un calo netto della portanza a causa di una brusca diminuzione dell'angolo d'incidenza.,[0/0]è una condizione di volo in cui si verifica un brusco aumento della resistenza dovuto all'eccessiva velocità.,

176,Lo stallo di un'ala si può verificare:,[0/0]solo a bassa velocità indipendentemente dall'angolo d'incidenza.,[0/0]solo a bassa velocità con incidenza oltre il valore critico.,[1/0]a qualsiasi velocità con incidenza oltre il valore critico.,

177,In virata la velocità minima di volo e quella di stallo sono identiche a quelle del volo rettilineo?,"[1/0]no, sono maggiori.",[0/0]si.,"[0/0]no, sono minori.",

178,La velocità di stallo è influenzata dal carico alare?,[0/0]no.,"[1/0]sì, aumenta con l'aumentare del carico alare.","[0/0]si, diminuisce con l'aumentare del carico alare.",

179,E' possibile con il deltaplano e il parapendio andare in stallo ad alta velocità?,[0/0]no.,[0/0]solo in virata.,"[1/0]sì, se si raggiunge e si supera il valore critico dell'angolo di incidenza.",

180,Un'ala stalla normalmente a diversi angoli d'incidenza se varia la velocità?,"[0/0]sì, infatti lo stallo dipende solo dalla velocità.","[1/0]no, lo stallo non dipende dalla velocità ma solo dall'angolo d'incidenza.","[0/0]no, lo stallo non dipende dalla velocità né dall'angolo d'incidenza.",

181,Che cosa s'intende per autostabilità di un profilo?,[0/0]una tendenza a cabrare o picchiare a seguito di un qualsiasi intervento del pilota sui comandi.,[0/0]una tendenza a picchiare comunque dopo il verificarsi di uno stallo accentuato.,"[1/0]una tendenza a tornare, autonomamente, alle condizioni di equilibrio dinamico anche senza l'intervento del pilota.",

182,Perché deltaplano e parapendio sono macchine considerate autostabili?,[1/0]perché reagiscono alle sollecitazioni aerodinamiche rispetto agli assi di rotazione tendendo a ritornare automaticamente in condizioni di equilibrio.,[0/0]solo perché a un movimento rispetto all'asse longitudinale reagiscono con una tendenza a ritornare automaticamente in condizioni di equilibrio.,[0/0]solo perché a un movimento rispetto all'asse verticale reagiscono con una tendenza a ritornare automaticamente in condizioni di equilibrio.,

183,Che cosa succede al sistema ala-pilota se il suo baricentro viene abbassato rispetto al centro di pressione?,[0/0]aumenta la sola stabilità laterale.,[1/0]aumenta la stabilità in beccheggio e rollio.,[0/0]varia semplicemente lo sforzo di azionamento dei comandi.,

184,La posizione bassa del baricentro del parapendio comporta entro certi limiti:,[1/0]una maggiore stabilità in volo.,[0/0]una minore stabilità in volo.,[0/0]un minore sforzo di azionamento dei comandi nel parapendio.,

185,La posizione bassa del baricentro del parapendio comporta:,[0/0]una minore stabilità.,[0/0]un minore sforzo di azionamento dei comandi nel parapendio.,[1/0]una possibilità di avere delle oscillazioni più ampie.,

186,"Lo svergolamento di un'ala, contribuisce alla stabilità in volo?",[0/0]no.,[0/0]si.,"[1/0]sì, se lo svergolamento è adeguatamente calcolato.",

187,Volando in prossimità del terreno il deltaplano acquista prestazioni. Ciò è dovuto:,[0/0]al fatto che vicino a terra il pilota istintivamente aumenta l'incidenza.,[1/0]a un fenomeno detto "effetto suolo".,[0/0]solo al fatto che molto vicino al terreno sovente vi sono piccole termiche.,

188,A che cosa è dovuto principalmente l'effetto suolo?,[0/0]solo ad una compressione dell’aria al suolo dovuta all’avvicinarsi dell’ala ad esso.,[1/0]ad una riduzione della resistenza indotta all’approssimarsi dell’ala al suolo.,"[0/0]a nulla in generale, perché si tratta solo di una sensazione del pilota.",

189,Che cosa s'intende per "configurazione inusuale"?,[0/0]una situazione di volo in condizioni ambientali e meteorologiche estreme.,[0/0]una situazione di volo con un numero di passeggeri eccedente quello previsto dal manuale d'impiego.,"[1/0]una variazione di geometria e/o un comportamento anomalo del mezzo normalmente non indotti dal pilota direttamente, come tumbling, chiusure, autorotazioni positive e negative, stalli paracadutali ecc..",

190,Quale parametro di volo può provocare una "configurazione inusuale"?,[1/0]l'angolo d'incidenza se eccede certi valori.,[0/0]l'inclinazione in virata se eccede i 15 o 20 gradi.,[0/0]la velocità al suolo se è eccessiva.,

191,Quale comportamento è auspicabile appena effettuato un soccorso d'emergenza? ,[0/0]si trasporta il ferito all'ospedale con qualsiasi mezzo disponibile seguendolo da vicino.,[1/0]far trasportare all'ospedale con mezzo idoneo ed abilitato l'infortunato prendendosi cura dei suoi effetti personali ed avvisando al più presto i suoi parenti più prossimi.,[0/0]una volta chiamate si attende che giungano le autorità di polizia e si lascia a esse ogni incombenza.,

192,"Qual è, tra questi, il modo migliore per accompagnare un infortunato con una lesione leggera in grado di camminare? ",[0/0]procurandogli un paio di stampelle.,[0/0]portandolo a spalle.,"[1/0]mettendosi al suo fianco, dal lato della lesione e cingendogli la vita con il braccio, se possibile.",

193,Come comportarsi alla presenza di un infortunato di cui si sospettano lesioni interne di entità sconosciuta?,"[0/0]ispezionarlo attentamente, interrogandolo sulle parti dolenti e facendolo muovere se può, indi chiamare i mezzi di soccorso.","[1/0]non muoverlo assolutamente e non consentire che egli stesso si muova, provvedere immediatamente a chiamare personale e mezzi di soccorso qualificati e attrezzati (eliambulanza, ambulanza, etc.).","[0/0]cercare di metterlo in piedi, se la cosa risulta impossibile e se l'infortunato si lamenta chiamare idonei mezzi di soccorso.",

194,"Se, essendo l'unico presente, vi capita di dover soccorrere un traumatizzato, come dovete comportarvi?",[0/0]cercate subito un medico nel paese più vicino.,"[0/0]intervenite soccorrendolo voi stessi secondo i traumi subiti, come meglio potete.","[1/0]non muoverlo assolutamente e non consentire che egli stesso si muova, provvedere immediatamente a chiamare personale e mezzi di soccorso qualificati e attrezzati (eliambulanza, ambulanza, etc.).",

195,Come intervenire su un infortunato che presenta una copiosa perdita di sangue da una ferita?,[0/0]lasciare uscire più sangue possibile onde lavare la ferita.,[1/0]interrompere il flusso sanguigno con laccio emostatico posto tra la lesione ed il cuore o con idoneo tampone posto sulla ferita.,[0/0]distendere l'infortunato con la ferita posta verso l'alto.,

196,Come si deve intervenire soccorrendo un infortunato che presenta solo una ferita?,[0/0]cercare di aiutarlo a mettersi in piedi.,"[0/0]lasciare la ferita scoperta dopo averla opportunamente tamponata, sino all'arrivo di idoneo soccorso.","[1/0]tamponare la ferita con ciò che è possibile, cercando di lasciare coperta la ferita sino all'arrivo d'idoneo soccorso.",

197,Come si deve intervenire in caso di forma lieve di fuoriuscita di sangue dal naso (epistassi)?,[1/0]far reclinar la testa in avanti favorendo il drenaggio di sangue e muco.,[0/0]far soffiare forte il naso.,[0/0]far tenere le narici serrate con le dita.,

198,Come si deve intervenire alla presenza di una persona colpita da soffocamento?,[0/0]lasciare che l'infortunato riprenda a respirare dopo averlo adagiato supino.,"[1/0]rimuovere le più evidenti cause di soffocamento, accertare che il soffocamento non sia dovuto all'ingestione di vomito e che la lingua non sia motivo d'impedimento alla ventilazione.","[0/0]tentare la respirazione artificiale prima di tutto, premendo sull'addome dell'infortunato in maniera decisa e ritmica.",

199,Come intervenire alla presenza di una persona in stato di shock?,[0/0]lasciarla tranquilla e alleggerirgli l'abbigliamento per evitare che sudi.,[0/0]somministrargli liquori o caffè per farla riprendere.,[1/0]coprirla in posizione supina muovendola meno possibile.,

200,"Se in un infortunato si sospetta una frattura, come dobbiamo comportarci?",[0/0]tentare comunque di ridurre subito la frattura stessa ponendo prima in trazione l'arto o la parte interessata in attesa di idonei mezzi di soccorso.,"[1/0]immobilizzare il traumatizzato e solo se trattasi di frattura a uno degli arti cercare di steccarlo con una "doccia" più idonea possibile, provvedendo comunque ad allertare al più presto idonei mezzi di soccorso.",[0/0]fasciare strettamente la parte del corpo in cui si trova la sospetta frattura in attesa di eventuali idonei mezzi di soccorso.,

201,"Come si deve intervenire in presenza di un infortunato che presenta sospetto trauma cranico con fuoriuscita di sangue dall'orecchio, in attesa di idonei mezzi di soccorso?",[0/0]tamponare la perdita di sangue.,[1/0]tenere il soggetto adagiato sul fianco dalla parte da cui perde sangue.,[0/0]porre il soggetto in posizione seduta.,

202,Come s'interviene nel caso che una persona presenti un trauma all'addome?,"[0/0]si provvede a chiamare idonei mezzi di soccorso, mettendola in piedi per alleviarle il dolore.","[1/0]si provvede a chiamare idonei mezzi di soccorso, evitando di muoverla e di comprimerle l'addome.","[0/0]si provvede a chiamare idonei mezzi di soccorso, nel frattempo le si praticano massaggi all'addome.",

203,"Nel caso una persona sia colpita da scarica elettrica e che rimanga a contatto con il cavo di alta tensione, il soccorritore dovrà:",[0/0]avvicinarsi al più presto e prestarle soccorso.,[1/0]rimanere a distanza di sicurezza dando immediatamente l'allarme.,"[0/0]distaccarla immediatamente dalla sorgente elettrica servendosi ad esempio di un bastone di legno, che è uno strumento isolante.",

204,"Nel caso che una persona sia colpita da scarica elettrica e che rimanga a contatto con il cavo a bassa tensione, il soccorritore dovrà:",[0/0]rimanere a distanza di sicurezza.,[0/0]prenderla per un braccio e tentare di staccarla dalla sorgente elettrica.,[1/0]staccarla dalla sorgente elettrica facendo uso di un attrezzo di materiale isolante come ad esempio il legno.,

205,Come intervenire in soccorso di un soggetto che presenti una distorsione al piede?,[0/0]farlo camminare subito per ripristinargli la circolazione.,[1/0]immobilizzare la parte lesa con ovatta ed eventuale fascia elastica.,[0/0]trazionare l'arto infortunato cercando di ricomporre la distorsione.,

206,Come si riconosce una spalla lussata?,[1/0]da un abbassamento dell'arto con infossamento all'altezza dell'articolazione.,[0/0]da un improvviso gonfiore in corrispondenza dell'articolazione.,[0/0]dal fatto che braccio e avambraccio risultano privi di articolazione.,

207,Come s'interviene provvisoriamente in caso di grave scottatura?,[1/0]si mantiene pulita e detersa la parte ustionata sino al momento in cui sono possibili interventi specialistici qualificati.,[0/0]non si tocca assolutamente la parte ustionata anche se è sporca trasportando l'infortunato dal medico più vicino.,[0/0]si pone sulla parte ustionata un qualsiasi unguento disponibile.,

208,Come s'interviene per soccorrere persone che abbiano perso conoscenza?,[0/0]si lasciano o si adagiano semplicemente in posizione prona.,[1/0]si dispongono su un fianco sollevando un braccio e una gamba per evitare che il vomito ostruisca le vie respiratorie.,[0/0]si bagna loro la fronte con acqua fredda.,

209,Come s'interviene su una persona svenuta a seguito di trauma?,[0/0]si prova a rianimarla energicamente scuotendola dopo aver chiamato idonei mezzi di soccorso.,"[1/0]si tiene sotto monitoraggio il battito cardiaco e la frequenza respiratoria, chiamando con urgenza idonei mezzi di soccorso.","[0/0]si adagia in posizione supina, le si pratica la respirazione, si chiamano se necessario idonei mezzi di soccorso.",

210,Qual è il rimedio migliore in caso di principio di assideramento di una parte del corpo?,[0/0]fare ingerire al paziente bevande alcoliche.,[0/0]fare muovere la parte colpita in modo da provocare circolazione sanguigna.,[1/0]tenere la parte colpita al caldo coprendola e facendo ingerire al paziente bevande calde.,

211,"Come varia la pressione parziale dell'ossigeno a livello polmonare, al variare dell'altitudine?",[1/0]diminuisce all'aumentare dell'altitudine.,"[0/0]diminuisce all'aumentare dell'altitudine, ma non scende mai sotto valori di guardia.",[0/0]aumenta all'aumentare dell'altitudine.,

212,"Ad elevate altitudini nell'organismo umano si instaura una situazione alterata, prodotta dalla ridotta pressione di ossigeno. Essa prende il nome di:",[0/0]ipotermia.,[1/0]ipossia.,[0/0]ipotensione.,

213,Che cosa è l'ipossia?,[0/0]è lo stato in cui l'organismo viene a trovarsi a causa dell'insufficiente pressione sanguigna dovuta alla quota.,[0/0]è lo stato in cui l'organismo viene a trovarsi a causa dell'insufficiente temperatura corporea dovuta alla quota.,[1/0]è lo stato in cui l'organismo viene a trovarsi a causa dell'insufficiente pressione dell'ossigeno a livello degli alveoli polmonari dovuta alla quota.,

214,Quali sono gli effetti dell'ipossia?,"[1/0]diminuzione dell'efficienza mentale, nausea, euforia, aumento del ritmo di ventilazione polmonare.","[0/0]vasodilatazione periferica, secchezza delle fauci, rigidità muscolare, diminuzione del ritmo di ventilazione polmonare.","[0/0]diminuzione della pressione arteriosa, ischemia periferica, paralisi dei centri respiratori.",

